S. No.,image_path,train/test,X_min,Y_min,X_max,Y_max
1443,WSD02/WSD02_0086.jpg,train,15,145,181,401
1444,WSD02/WSD02_0088.jpg,train,265,335,349,481
1445,WSD02/WSD02_0089.jpg,train,261,128,275,149
1446,WSD02/WSD02_0090.jpg,train,9,339,189,500
1447,WSD02/WSD02_0091.jpg,train,121,112,301,337
1448,WSD02/WSD02_0093.jpg,train,23,0,485,376
1449,WSD02/WSD02_0094.jpg,train,16,-10,323,367
1450,WSD02/WSD02_0095.jpg,train,46,119,220,303
1451,WSD02/WSD02_0096.jpg,train,-56,32,407,474
1452,WSD02/WSD02_0097.jpg,train,45,42,413,511
1453,WSD02/WSD02_0098.jpg,train,15,252,182,486
1454,WSD02/WSD02_0099.jpg,train,47,165,80,207
1455,WSD02/WSD02_0100.jpg,train,139,130,263,288
1456,WSD02/WSD02_0101.jpg,train,-22,53,252,426
1457,WSD02/WSD02_0102.jpg,train,41,221,201,342
1458,WSD02/WSD02_0103.jpg,train,349,204,376,245
1459,WSD02/WSD02_0104.jpg,train,178,51,339,271
1460,WSD02/WSD02_0105.jpg,train,62,112,307,342
1461,WSD02/WSD02_0106.jpg,train,281,38,438,262
1462,WSD02/WSD02_0107.jpg,train,66,163,211,331
1463,WSD02/WSD02_0108.jpg,train,264,295,353,450
1464,WSD02/WSD02_0109.jpg,train,17,112,170,348
1465,WSD02/WSD02_0110.jpg,train,98,102,227,250
1466,WSD02/WSD02_0111.jpg,train,14,147,190,294
1467,WSD02/WSD02_0112.jpg,train,173,4,370,227
1468,WSD02/WSD02_0113.jpg,train,47,149,231,325
1469,WSD02/WSD02_0114.jpg,train,197,95,442,397
1470,WSD02/WSD02_0115.jpg,train,-31,-7,349,399
1471,WSD02/WSD02_0116.jpg,train,45,44,357,514
1472,WSD02/WSD02_0117.jpg,train,-5,31,111,266
1473,WSD02/WSD02_0118.jpg,train,185,246,307,371
1474,WSD02/WSD02_0119.jpg,train,-8,-16,113,138
1475,WSD02/WSD02_0120.jpg,train,178,42,227,106
1476,WSD02/WSD02_0121.jpg,train,45,79,177,276
1477,WSD02/WSD02_0123.jpg,train,185,52,213,84
1478,WSD02/WSD02_0124.jpg,train,84,107,309,329
1479,WSD02/WSD02_0125.jpg,train,69,117,220,397
1480,WSD02/WSD02_0126.jpg,train,39,100,221,402
1481,WSD02/WSD02_0127.jpg,train,67,70,289,315
1482,WSD02/WSD02_0128.jpg,train,30,29,193,302
1483,WSD02/WSD02_0129.jpg,train,10,65,241,282
1484,WSD02/WSD02_0130.jpg,train,124,41,377,352
1485,WSD02/WSD02_0132.jpg,train,380,462,392,479
1486,WSD02/WSD02_0133.jpg,train,237,117,308,205
1487,WSD02/WSD02_0134.jpg,train,112,136,265,333
1488,WSD02/WSD02_0135.jpg,train,-84,-24,342,416
1489,WSD02/WSD02_0136.jpg,train,77,98,249,329
1490,WSD02/WSD02_0137.jpg,train,266,0,284,15
1491,WSD02/WSD02_0138.jpg,train,25,-68,479,387
1492,WSD02/WSD02_0139.jpg,train,8,84,182,285
1493,WSD02/WSD02_0140.jpg,train,22,2,66,41
1494,WSD02/WSD02_0141.jpg,train,-36,34,411,426
1495,WSD02/WSD02_0142.jpg,train,13,63,385,483
1496,WSD02/WSD02_0143.jpg,train,40,159,199,291
1497,WSD02/WSD02_0144.jpg,train,162,4,384,249
1498,WSD02/WSD02_0145.jpg,train,36,248,147,411
1499,WSD02/WSD02_0146.jpg,train,366,108,376,120
1500,WSD02/WSD02_0147.jpg,train,94,110,251,375
1501,WSD02/WSD02_0148.jpg,train,195,12,238,69
1502,WSD02/WSD02_0149.jpg,train,136,158,281,349
1503,WSD02/WSD02_0150.jpg,train,231,257,349,392
1504,WSD02/WSD02_0151.jpg,train,27,103,234,297
1505,WSD02/WSD02_0152.jpg,train,143,106,289,267
1506,WSD02/WSD02_0153.jpg,train,30,139,209,420
1507,WSD02/WSD02_0154.jpg,train,245,-5,338,80
1508,WSD02/WSD02_0155.jpg,train,198,56,417,326
1509,WSD02/WSD02_0156.jpg,train,192,307,225,344
1510,WSD02/WSD02_0158.jpg,train,57,143,218,370
1511,WSD02/WSD02_0159.jpg,train,14,152,162,324
1512,WSD02/WSD02_0160.jpg,train,100,205,255,432
1513,WSD02/WSD02_0162.jpg,train,6,124,220,306
1514,WSD02/WSD02_0163.jpg,train,61,151,116,237
1515,WSD02/WSD02_0164.jpg,train,65,152,206,295
1516,WSD02/WSD02_0165.jpg,train,23,196,277,498
1517,WSD02/WSD02_0166.jpg,train,165,-8,429,349
1518,WSD02/WSD02_0168.jpg,train,59,14,374,450
1519,WSD02/WSD02_0169.jpg,train,117,52,281,274
1520,WSD02/WSD02_0170.jpg,train,61,242,248,457
1521,WSD02/WSD02_0172.jpg,train,124,95,134,108
1522,WSD02/WSD02_0173.jpg,train,149,24,430,391
1523,WSD02/WSD02_0175.jpg,train,50,296,216,460
1524,WSD02/WSD02_0176.jpg,train,160,67,351,272
1525,WSD02/WSD02_0177.jpg,train,65,34,308,280
1526,WSD02/WSD02_0178.jpg,train,64,-1,311,195
1527,WSD02/WSD02_0179.jpg,train,-25,71,217,399
1528,WSD02/WSD02_0180.jpg,train,37,39,249,325
1529,WSD02/WSD02_0181.jpg,train,250,114,399,307
1530,WSD02/WSD02_0182.jpg,train,154,52,415,402
1531,WSD02/WSD02_0183.jpg,train,-101,139,288,533
1532,WSD02/WSD02_0184.jpg,train,257,119,305,192
1533,WSD02/WSD02_0185.jpg,train,84,210,198,346
1534,WSD02/WSD02_0188.jpg,train,9,189,221,368
1535,WSD02/WSD02_0189.jpg,train,228,73,321,204
1536,WSD02/WSD02_0190.jpg,train,90,115,296,340
1537,WSD02/WSD02_0192.jpg,train,144,66,306,287
1538,WSD02/WSD02_0193.jpg,train,66,108,287,333
1539,WSD02/WSD02_0194.jpg,train,92,33,333,344
1540,WSD02/WSD02_0195.jpg,train,33,97,142,279
1541,WSD02/WSD02_0196.jpg,train,79,86,270,289
1542,WSD02/WSD02_0197.jpg,train,116,110,300,339
1543,WSD02/WSD02_0198.jpg,train,29,139,244,362
1544,WSD02/WSD02_0199.jpg,train,62,19,275,308
1545,WSD02/WSD02_0200.jpg,train,41,107,222,288
1546,WSD02/WSD02_0203.jpg,train,108,87,303,321
1547,WSD02/WSD02_0204.jpg,train,15,-19,414,497
1548,WSD02/WSD02_0206.jpg,train,75,150,275,339
1549,WSD02/WSD02_0207.jpg,train,70,53,240,262
1550,WSD02/WSD02_0208.jpg,train,59,44,291,271
1551,WSD02/WSD02_0209.jpg,train,272,188,315,240
1552,WSD02/WSD02_0210.jpg,train,106,117,262,302
1553,WSD02/WSD02_0211.jpg,train,44,249,151,394
1554,WSD02/WSD02_0212.jpg,train,32,223,82,296
1555,WSD02/WSD02_0213.jpg,train,76,44,234,321
1556,WSD02/WSD02_0214.jpg,train,-4,52,155,320
1557,WSD02/WSD02_0215.jpg,train,51,102,244,290
1558,WSD02/WSD02_0216.jpg,train,52,11,361,437
1559,WSD02/WSD02_0218.jpg,train,154,49,304,269
1560,WSD02/WSD02_0219.jpg,train,104,34,423,472
1561,WSD02/WSD02_0221.jpg,train,58,62,205,260
1562,WSD02/WSD02_0222.jpg,train,-110,8,342,424
1563,WSD02/WSD02_0223.jpg,train,128,-6,418,402
1564,WSD02/WSD02_0224.jpg,train,86,14,138,82
1565,WSD02/WSD02_0225.jpg,train,75,175,189,368
1566,WSD02/WSD02_0226.jpg,train,33,113,78,184
1567,WSD02/WSD02_0227.jpg,train,42,148,165,299
1568,WSD02/WSD02_0228.jpg,train,12,-6,379,378
1569,WSD02/WSD02_0229.jpg,train,37,173,187,325
1570,WSD02/WSD02_0230.jpg,train,136,81,332,321
1571,WSD02/WSD02_0231.jpg,train,40,191,154,326
1572,WSD02/WSD02_0232.jpg,train,19,75,160,251
1573,WSD02/WSD02_0233.jpg,train,161,36,558,501
1574,WSD02/WSD02_0234.jpg,train,146,37,384,372
1575,WSD02/WSD02_0235.jpg,train,11,203,260,423
1576,WSD02/WSD02_0236.jpg,train,-16,91,203,343
1577,WSD02/WSD02_0237.jpg,train,369,266,383,284
1578,WSD02/WSD02_0238.jpg,train,77,135,229,290
1579,WSD02/WSD02_0239.jpg,train,280,247,451,478
1580,WSD02/WSD02_0240.jpg,train,67,73,236,307
1581,WSD02/WSD02_0241.jpg,train,48,54,207,274
1582,WSD02/WSD02_0242.jpg,train,32,57,193,258
1583,WSD02/WSD02_0243.jpg,train,97,74,247,272
1584,WSD02/WSD02_0244.jpg,train,71,98,264,332
1585,WSD02/WSD02_0245.jpg,train,58,42,267,328
1586,WSD02/WSD02_0246.jpg,train,131,37,374,256
1587,WSD02/WSD02_0248.jpg,train,83,106,281,265
1588,WSD02/WSD02_0249.jpg,train,84,139,253,314
1589,WSD02/WSD02_0250.jpg,train,224,89,317,201
1590,WSD02/WSD02_0251.jpg,train,111,89,339,390
1591,WSD02/WSD02_0252.jpg,train,5,1,196,147
1592,WSD02/WSD02_0253.jpg,train,160,32,323,271
1593,WSD02/WSD02_0254.jpg,train,175,131,416,363
1594,WSD02/WSD02_0255.jpg,train,70,104,198,269
1595,WSD02/WSD02_0258.jpg,train,104,203,254,412
1596,WSD02/WSD02_0259.jpg,train,308,340,318,353
1597,WSD02/WSD02_0260.jpg,train,114,19,285,240
1598,WSD02/WSD02_0261.jpg,train,296,128,391,266
1599,WSD02/WSD02_0262.jpg,train,114,78,307,306
1600,WSD02/WSD02_0263.jpg,train,128,191,358,472
1601,WSD02/WSD02_0266.jpg,train,22,-53,428,388
1602,WSD02/WSD02_0267.jpg,train,19,59,199,334
1603,WSD02/WSD02_0268.jpg,train,9,23,182,337
1604,WSD02/WSD02_0269.jpg,train,-25,87,271,367
1605,WSD02/WSD02_0271.jpg,train,190,7,391,258
1606,WSD02/WSD02_0272.jpg,train,20,44,261,265
1607,WSD02/WSD02_0273.jpg,train,8,396,95,511
1608,WSD02/WSD02_0274.jpg,train,78,139,195,312
1609,WSD02/WSD02_0275.jpg,train,180,151,357,412
1610,WSD02/WSD02_0276.jpg,train,82,144,268,338
1611,WSD02/WSD02_0277.jpg,train,28,304,178,500
1612,WSD02/WSD02_0278.jpg,train,70,124,232,334
1613,WSD02/WSD02_0279.jpg,train,154,256,273,392
1614,WSD02/WSD02_0280.jpg,train,197,-6,390,240
1615,WSD02/WSD02_0281.jpg,train,91,57,286,300
1616,WSD02/WSD02_0282.jpg,train,105,55,126,81
1617,WSD02/WSD02_0283.jpg,train,54,16,274,362
1618,WSD02/WSD02_0284.jpg,train,26,12,417,440
1619,WSD02/WSD02_0285.jpg,train,60,89,269,358
1620,WSD02/WSD02_0286.jpg,train,69,46,261,256
1621,WSD02/WSD02_0287.jpg,train,-17,-18,487,464
1622,WSD02/WSD02_0288.jpg,train,80,66,207,244
1623,WSD02/WSD02_0289.jpg,train,73,142,209,332
1624,WSD02/WSD02_0290.jpg,train,45,154,220,363
1625,WSD02/WSD02_0291.jpg,train,22,199,204,380
1626,WSD02/WSD02_0292.jpg,train,285,98,435,316
1627,WSD02/WSD02_0293.jpg,train,85,72,277,330
1628,WSD02/WSD02_0294.jpg,train,92,194,127,235
1629,WSD02/WSD02_0295.jpg,train,148,106,370,372
1630,WSD02/WSD02_0297.jpg,train,61,75,283,394
1631,WSD02/WSD02_0298.jpg,train,36,35,213,237
1632,WSD02/WSD02_0299.jpg,train,60,85,250,325
1633,WSD02/WSD02_0300.jpg,train,308,28,362,105
1634,WSD02/WSD02_0301.jpg,train,87,118,266,362
1635,WSD02/WSD02_0302.jpg,train,167,363,308,489
1636,WSD02/WSD02_0303.jpg,train,92,7,476,456
1637,WSD02/WSD02_0304.jpg,train,259,279,355,436
1638,WSD02/WSD02_0307.jpg,train,-35,50,229,354
1639,WSD02/WSD02_0308.jpg,train,109,9,229,137
1640,WSD02/WSD02_0310.jpg,train,36,178,79,241
1641,WSD02/WSD02_0311.jpg,train,186,303,209,336
1642,WSD02/WSD02_0312.jpg,train,115,30,356,343
1643,WSD02/WSD02_0314.jpg,train,82,341,91,352
1644,WSD02/WSD02_0315.jpg,train,23,103,243,314
1645,WSD02/WSD02_0316.jpg,train,98,36,368,441
1646,WSD02/WSD02_0317.jpg,train,-33,76,327,557
1647,WSD02/WSD02_0318.jpg,train,111,44,356,352
1648,WSD02/WSD02_0319.jpg,train,24,-49,340,381
1649,WSD02/WSD02_0320.jpg,train,159,39,547,457
1650,WSD02/WSD02_0321.jpg,train,50,118,224,303
1651,WSD02/WSD02_0322.jpg,train,50,171,252,415
1652,WSD02/WSD02_0323.jpg,train,80,81,144,162
1653,WSD02/WSD02_0324.jpg,train,90,98,212,220
1654,WSD02/WSD02_0325.jpg,train,234,62,290,151
1655,WSD02/WSD02_0326.jpg,train,143,81,318,306
1656,WSD02/WSD02_0327.jpg,train,179,28,258,145
1657,WSD02/WSD02_0330.jpg,train,60,14,248,254
1658,WSD02/WSD02_0331.jpg,train,347,227,400,297
1659,WSD02/WSD02_0333.jpg,train,22,71,213,410
1660,WSD02/WSD02_0334.jpg,train,82,78,270,261
1661,WSD02/WSD02_0335.jpg,train,150,89,177,125
1662,WSD02/WSD02_0336.jpg,train,119,86,301,338
1663,WSD02/WSD02_0337.jpg,train,-32,76,498,550
1664,WSD02/WSD02_0338.jpg,train,145,118,279,277
1665,WSD02/WSD02_0339.jpg,train,55,22,258,358
1666,WSD02/WSD02_0340.jpg,train,132,42,404,351
1667,WSD02/WSD02_0341.jpg,train,76,33,264,260
1668,WSD02/WSD02_0342.jpg,train,151,144,278,303
1669,WSD02/WSD02_0343.jpg,train,78,73,330,380
1670,WSD02/WSD02_0344.jpg,train,209,90,395,322
1671,WSD02/WSD02_0345.jpg,train,113,119,293,346
1672,WSD02/WSD02_0346.jpg,train,64,43,237,280
1673,WSD02/WSD02_0347.jpg,train,-9,-83,440,388
1674,WSD02/WSD02_0348.jpg,train,270,210,302,254
1675,WSD02/WSD02_0349.jpg,train,179,21,261,148
1676,WSD02/WSD02_0350.jpg,train,79,66,203,248
1677,WSD02/WSD02_0351.jpg,train,296,101,360,183
1678,WSD02/WSD02_0352.jpg,train,-22,-71,338,334
1679,WSD02/WSD02_0353.jpg,train,69,47,267,264
1680,WSD02/WSD02_0355.jpg,train,76,71,294,343
1681,WSD02/WSD02_0356.jpg,train,135,1,170,39
1682,WSD02/WSD02_0357.jpg,train,128,146,258,358
1683,WSD02/WSD02_0358.jpg,train,-1,80,93,292
1684,WSD02/WSD02_0359.jpg,train,69,73,201,261
1685,WSD02/WSD02_0360.jpg,train,101,-2,408,385
1686,WSD02/WSD02_0361.jpg,train,74,-32,411,432
1687,WSD02/WSD02_0363.jpg,train,76,52,250,264
1688,WSD02/WSD02_0364.jpg,train,61,191,137,272
1689,WSD02/WSD02_0365.jpg,train,102,31,226,142
1690,WSD02/WSD02_0366.jpg,train,-11,-1,308,270
1691,WSD02/WSD02_0367.jpg,train,16,50,195,284
1692,WSD02/WSD02_0368.jpg,train,99,47,264,249
1693,WSD02/WSD02_0369.jpg,train,72,92,282,322
1694,WSD02/WSD02_0370.jpg,train,-5,176,151,365
1695,WSD02/WSD02_0372.jpg,train,57,55,231,296
1696,WSD02/WSD02_0373.jpg,train,88,60,216,237
1697,WSD02/WSD02_0374.jpg,train,48,-31,412,435
1698,WSD02/WSD02_0375.jpg,train,295,435,308,450
1699,WSD02/WSD02_0376.jpg,train,126,75,378,397
1700,WSD02/WSD02_0377.jpg,train,39,-26,304,283
1701,WSD02/WSD02_0378.jpg,train,174,4,433,337
1702,WSD02/WSD02_0379.jpg,train,194,118,304,290
1703,WSD02/WSD02_0380.jpg,train,3,15,155,265
1704,WSD02/WSD02_0381.jpg,train,46,-35,439,465
1705,WSD02/WSD02_0382.jpg,train,92,60,349,397
1706,WSD02/WSD02_0383.jpg,train,161,242,324,507
1707,WSD02/WSD02_0385.jpg,train,26,9,166,196
1708,WSD02/WSD02_0386.jpg,train,253,184,284,226
1709,WSD02/WSD02_0387.jpg,train,103,191,268,417
1710,WSD02/WSD02_0388.jpg,train,155,112,293,298
1711,WSD02/WSD02_0389.jpg,train,38,58,212,290
1712,WSD02/WSD02_0390.jpg,train,136,23,329,269
1713,WSD02/WSD02_0391.jpg,train,9,9,162,211
1714,WSD02/WSD02_0392.jpg,train,-8,108,154,400
1715,WSD02/WSD02_0393.jpg,train,175,-4,219,44
1716,WSD02/WSD02_0394.jpg,train,-34,-11,423,496
1717,WSD02/WSD02_0395.jpg,train,52,83,255,297
1718,WSD02/WSD02_0397.jpg,train,85,134,289,359
1719,WSD02/WSD02_0398.jpg,train,190,114,240,186
1720,WSD02/WSD02_0400.jpg,train,75,99,231,301
1721,WSD02/WSD02_0401.jpg,train,74,67,227,237
1722,WSD02/WSD02_0403.jpg,train,102,163,244,357
1723,WSD02/WSD02_0404.jpg,train,79,263,194,396
1724,WSD02/WSD02_0405.jpg,train,64,107,211,250
1725,WSD02/WSD02_0406.jpg,train,102,30,247,220
1726,WSD02/WSD02_0407.jpg,train,0,53,283,312
1727,WSD02/WSD02_0408.jpg,train,27,45,205,264
1728,WSD02/WSD02_0409.jpg,train,59,69,248,275
1729,WSD02/WSD02_0410.jpg,train,81,312,293,483
1730,WSD02/WSD02_0411.jpg,train,45,180,212,430
1731,WSD02/WSD02_0412.jpg,train,74,194,188,351
1732,WSD02/WSD02_0413.jpg,train,-146,56,341,477
1733,WSD02/WSD02_0414.jpg,train,129,44,332,316
1734,WSD02/WSD02_0415.jpg,train,3,315,149,498
1735,WSD02/WSD02_0416.jpg,train,41,94,274,328
1736,WSD02/WSD02_0417.jpg,train,148,47,357,310
1737,WSD02/WSD02_0419.jpg,train,55,262,228,389
1738,WSD02/WSD02_0420.jpg,train,99,349,256,485
1739,WSD02/WSD02_0421.jpg,train,97,203,274,346
1740,WSD02/WSD02_0422.jpg,train,36,63,266,301
1741,WSD02/WSD02_0423.jpg,train,65,86,249,328
1742,WSD02/WSD02_0424.jpg,train,47,45,239,353
1743,WSD02/WSD02_0425.jpg,train,56,98,244,343
1744,WSD02/WSD02_0426.jpg,train,-16,1,163,352
1745,WSD02/WSD02_0427.jpg,train,44,108,264,306
1746,WSD02/WSD02_0428.jpg,train,74,46,177,206
1747,WSD02/WSD02_0429.jpg,train,81,192,232,297
1748,WSD02/WSD02_0430.jpg,train,-38,-45,327,374
1749,WSD02/WSD02_0431.jpg,train,244,68,328,196
1750,WSD02/WSD02_0433.jpg,train,36,99,236,294
1751,WSD02/WSD02_0434.jpg,train,-38,58,314,536
1752,WSD02/WSD02_0436.jpg,train,55,24,277,309
1753,WSD02/WSD02_0438.jpg,train,73,159,226,339
1754,WSD02/WSD02_0439.jpg,train,94,223,121,257
1755,WSD02/WSD02_0440.jpg,train,105,80,337,375
1756,WSD02/WSD02_0441.jpg,train,157,92,334,318
1757,WSD02/WSD02_0442.jpg,train,118,53,257,241
1758,WSD02/WSD02_0443.jpg,train,70,74,275,301
1759,WSD02/WSD02_0444.jpg,train,125,44,294,264
1760,WSD02/WSD02_0445.jpg,train,61,112,202,298
1761,WSD02/WSD02_0446.jpg,train,146,40,316,256
1762,WSD02/WSD02_0447.jpg,train,-6,92,118,266
1763,WSD02/WSD02_0448.jpg,train,75,3,249,187
1764,WSD02/WSD02_0449.jpg,train,191,170,381,392
1765,WSD02/WSD02_0450.jpg,train,8,1,239,292
1766,WSD02/WSD02_0451.jpg,train,126,46,150,75
1767,WSD02/WSD02_0452.jpg,train,132,72,344,351
1768,WSD02/WSD02_0453.jpg,train,132,42,309,273
1769,WSD02/WSD02_0454.jpg,train,23,119,222,303
1770,WSD02/WSD02_0455.jpg,train,-2,105,185,337
1771,WSD02/WSD02_0456.jpg,train,113,210,268,439
1772,WSD02/WSD02_0457.jpg,train,36,134,283,373
1773,WSD02/WSD02_0458.jpg,train,178,96,361,350
1774,WSD02/WSD02_0459.jpg,train,193,99,353,287
1775,WSD02/WSD02_0461.jpg,train,129,222,237,406
1776,WSD02/WSD02_0462.jpg,train,113,62,299,313
1777,WSD02/WSD02_0463.jpg,train,109,74,287,344
1778,WSD02/WSD02_0464.jpg,train,166,43,411,361
1779,WSD02/WSD02_0465.jpg,train,59,181,189,365
1780,WSD02/WSD02_0466.jpg,train,59,55,268,313
1781,WSD02/WSD02_0467.jpg,train,65,36,93,70
1782,WSD02/WSD02_0468.jpg,train,103,39,276,266
1783,WSD02/WSD02_0469.jpg,train,139,179,264,305
1784,WSD02/WSD02_0470.jpg,train,16,161,166,398
1785,WSD02/WSD02_0471.jpg,train,46,61,444,552
1786,WSD02/WSD02_0472.jpg,train,59,147,108,226
1787,WSD02/WSD02_0473.jpg,train,82,31,251,232
1788,WSD02/WSD02_0474.jpg,train,109,93,211,261
1789,WSD02/WSD02_0476.jpg,train,210,43,309,209
1790,WSD02/WSD02_0477.jpg,train,111,138,251,303
1791,WSD02/WSD02_0478.jpg,train,88,47,242,268
1792,WSD02/WSD02_0479.jpg,train,253,44,410,263
1793,WSD02/WSD02_0480.jpg,train,123,110,296,367
1794,WSD02/WSD02_0481.jpg,train,180,12,270,139
1795,WSD02/WSD02_0482.jpg,train,98,143,228,340
1796,WSD02/WSD02_0483.jpg,train,122,55,245,222
1797,WSD02/WSD02_0484.jpg,train,11,-3,162,189
1798,WSD02/WSD02_0485.jpg,train,140,284,268,444
1799,WSD02/WSD02_0486.jpg,train,35,61,264,319
1800,WSD02/WSD02_0487.jpg,train,16,2,207,203
1801,WSD02/WSD02_0488.jpg,train,45,203,201,426
1802,WSD02/WSD02_0489.jpg,train,134,28,303,262
1803,WSD02/WSD02_0491.jpg,train,94,61,256,281
1804,WSD02/WSD02_0492.jpg,train,39,107,291,343
1805,WSD02/WSD02_0493.jpg,train,55,198,227,367
1806,WSD02/WSD02_0494.jpg,train,88,7,247,134
1807,WSD02/WSD02_0495.jpg,train,-7,34,94,198
1808,WSD02/WSD02_0496.jpg,train,101,56,297,274
1809,WSD02/WSD02_0497.jpg,train,173,70,410,381
1810,WSD02/WSD02_0498.jpg,train,270,161,358,278
1811,WSD02/WSD02_0499.jpg,train,84,116,429,584
1812,WSD02/WSD02_0500.jpg,train,152,123,307,313
1813,WSD02/WSD02_0501.jpg,train,48,76,178,249
1814,WSD02/WSD02_0502.jpg,train,96,158,286,404
1815,WSD02/WSD02_0503.jpg,train,21,130,201,314
1816,WSD02/WSD02_0504.jpg,train,31,153,160,364
1817,WSD02/WSD02_0505.jpg,train,62,62,258,325
1818,WSD02/WSD02_0506.jpg,train,26,253,225,480
1819,WSD02/WSD02_0507.jpg,train,-12,32,162,329
1820,WSD02/WSD02_0509.jpg,train,97,85,482,578
1821,WSD02/WSD02_0510.jpg,train,226,113,329,247
1822,WSD02/WSD02_0511.jpg,train,67,111,274,389
1823,WSD02/WSD02_0512.jpg,train,6,60,247,359
1824,WSD02/WSD02_0515.jpg,train,91,208,284,418
1825,WSD02/WSD02_0516.jpg,train,99,56,231,226
1826,WSD02/WSD02_0517.jpg,train,142,18,194,102
1827,WSD02/WSD02_0519.jpg,train,5,330,133,493
1828,WSD02/WSD02_0520.jpg,train,39,92,164,276
1829,WSD02/WSD02_0521.jpg,train,-14,132,215,342
1830,WSD02/WSD02_0522.jpg,train,-42,122,383,616
1831,WSD02/WSD02_0523.jpg,train,46,75,265,372
1832,WSD02/WSD02_0524.jpg,train,290,171,320,209
1833,WSD02/WSD02_0525.jpg,train,-7,19,138,247
1834,WSD02/WSD02_0526.jpg,train,73,108,198,286
1835,WSD02/WSD02_0527.jpg,train,182,111,294,247
1836,WSD02/WSD02_0531.jpg,train,117,82,230,202
1837,WSD02/WSD02_0532.jpg,train,9,178,216,385
1838,WSD02/WSD02_0533.jpg,train,86,78,289,334
1839,WSD02/WSD02_0534.jpg,train,106,138,300,394
1840,WSD02/WSD02_0535.jpg,train,140,138,314,372
1841,WSD02/WSD02_0536.jpg,train,106,87,310,331
1842,WSD02/WSD02_0537.jpg,train,90,81,322,321
1843,WSD02/WSD02_0538.jpg,train,118,88,173,160
1844,WSD02/WSD02_0539.jpg,train,113,24,523,417
1845,WSD02/WSD02_0540.jpg,train,60,192,286,464
1846,WSD02/WSD02_0541.jpg,train,58,172,184,338
1847,WSD02/WSD02_0542.jpg,train,-2,142,278,404
1848,WSD02/WSD02_0543.jpg,train,73,127,169,276
1849,WSD02/WSD02_0544.jpg,train,286,-3,349,51
1850,WSD02/WSD02_0545.jpg,train,380,83,394,103
1851,WSD02/WSD02_0546.jpg,train,148,213,250,352
1852,WSD02/WSD02_0547.jpg,train,35,142,245,321
1853,WSD02/WSD02_0548.jpg,train,137,148,300,359
1854,WSD02/WSD02_0549.jpg,train,267,121,415,313
1855,WSD02/WSD02_0550.jpg,train,23,81,183,314
1856,WSD02/WSD02_0552.jpg,train,121,-2,353,269
1857,WSD02/WSD02_0553.jpg,train,24,42,243,330
1858,WSD02/WSD02_0554.jpg,train,191,69,371,333
1859,WSD02/WSD02_0555.jpg,train,121,181,279,392
1860,WSD02/WSD02_0556.jpg,train,52,221,295,479
1861,WSD02/WSD02_0558.jpg,train,26,27,316,257
1862,WSD02/WSD02_0559.jpg,train,86,204,258,355
1863,WSD02/WSD02_0561.jpg,train,91,84,192,226
1864,WSD02/WSD02_0562.jpg,train,152,186,281,305
1865,WSD02/WSD02_0563.jpg,train,71,135,337,445
1866,WSD02/WSD02_0564.jpg,train,205,61,430,342
1867,WSD02/WSD02_0565.jpg,train,187,255,422,515
1868,WSD02/WSD02_0566.jpg,train,254,15,351,129
1869,WSD02/WSD02_0568.jpg,train,139,103,322,323
1870,WSD02/WSD02_0569.jpg,train,88,132,237,290
1871,WSD02/WSD02_0570.jpg,train,122,44,312,265
1872,WSD02/WSD02_0571.jpg,train,108,41,274,260
1873,WSD02/WSD02_0572.jpg,train,57,30,210,227
1874,WSD02/WSD02_0573.jpg,train,50,23,220,225
1875,WSD02/WSD02_0575.jpg,train,28,160,244,407
1876,WSD02/WSD02_0576.jpg,train,48,311,256,470
1877,WSD02/WSD02_0579.jpg,train,132,58,343,332
1878,WSD02/WSD02_0580.jpg,train,57,152,225,345
1879,WSD02/WSD02_0582.jpg,train,128,77,272,222
1880,WSD02/WSD02_0583.jpg,train,163,-9,400,233
1881,WSD02/WSD02_0584.jpg,train,18,165,233,505
1882,WSD02/WSD02_0585.jpg,train,35,135,231,316
1883,WSD02/WSD02_0586.jpg,train,107,139,267,340
1884,WSD02/WSD02_0587.jpg,train,104,86,289,315
1885,WSD02/WSD02_0588.jpg,train,147,239,310,450
1886,WSD02/WSD02_0589.jpg,train,-29,-2,391,377
1887,WSD02/WSD02_0590.jpg,train,137,-1,184,44
1888,WSD02/WSD02_0591.jpg,train,-6,37,397,499
1889,WSD02/WSD02_0592.jpg,train,47,90,201,292
1890,WSD02/WSD02_0593.jpg,train,-90,-5,365,416
1891,WSD02/WSD02_0594.jpg,train,192,84,404,365
1892,WSD02/WSD02_0595.jpg,train,45,33,313,350
1893,WSD02/WSD02_0596.jpg,train,164,142,212,201
1894,WSD02/WSD02_0597.jpg,train,149,98,430,445
1895,WSD02/WSD02_0598.jpg,train,5,3,185,245
1896,WSD02/WSD02_0599.jpg,train,-28,-86,376,424
1897,WSD02/WSD02_0600.jpg,train,55,64,259,277
1898,WSD02/WSD02_0601.jpg,train,80,-43,433,389
1899,WSD02/WSD02_0603.jpg,train,75,159,233,313
1900,WSD02/WSD02_0604.jpg,train,-2,192,152,393
1901,WSD02/WSD02_0605.jpg,train,139,49,303,264
1902,WSD02/WSD02_0606.jpg,train,140,77,312,286
1903,WSD02/WSD02_0607.jpg,train,79,54,231,267
1904,WSD02/WSD02_0608.jpg,train,377,92,387,104
1905,WSD02/WSD02_0609.jpg,train,145,164,203,223
